Catalog,PME Code,SMILES,Viability Mask 1,Viability Mask 2,LPS Abs,LPS Abs Std,LPS Lum,LPS Lum Std,MPLA Abs,MPLA Abs Std,MPLA Lum,MPLA Lum Std,CpG Abs,CpG Abs Std,cGAMP Abs,cGAMP Abs Std,cGAMP Lum,cGAMP Lum Std,LMCpG Abs,LMCpG Abs Std,LMcGAMP Lum,LMcGAMP Lum Std
S1191,Primary,CC12CCC3c4ccc(O)cc4CC(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3C1CCC2O,27.46708,10.84886,0.7140624520000001,0.099581666,1.254706502,0.143971741,0.903889537,0.056754604,0.824524045,0.029762708,0.721087337,0.027600626,1.096189022,0.2224516869999999,0.387818664,0.0228567979999999,0.7796797753333333,0.0680670939444414,0.822349737,0.0858993872870603
S1192,Primary,Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)cc2c(=O)[nH]1,24.87509,11.03475,1.5626888280000002,0.420953691,1.03874588,0.152871609,1.447878838,0.063772619,0.987730265,0.033841871,1.931215048,0.068339758,1.295155048,0.214105755,0.8420081140000001,0.090827942,1.6472609046666669,0.248957345358692,0.9561614196666668,0.1045063253571841
S1193,Primary,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,30.89215,7.530527,1.217250705,0.208986476,0.910924494,0.159104258,0.7918881179999999,0.2014531789999999,1.075169802,0.133072481,1.008927226,0.07722152,1.092132807,0.174546912,1.005029202,0.0603974009999999,1.006022016333333,0.1734184665591825,0.997041166,0.1247267629136862
S1194,Primary,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,11.34301,4.621804,7.0874753,1.427754164,0.392157942,0.0488811809999999,1.871548414,0.7772361640000001,0.260377109,0.055520482,1.667731285,0.101961143,0.926315725,0.1357635999999999,0.116736054,0.023368444,3.5422516663333337,0.9403853965494928,0.2564237016666666,0.0447883093096409
S1195,Primary,CNC(=O)c1ccc2cc(C3(O)CCn4cncc43)ccc2c1,31.22958,9.038461,1.220098495,0.219585538,1.038139462,0.1794924439999999,1.069727182,0.046294309,0.973046899,0.034938,1.014347792,0.0379515329999999,1.069450617,0.169040799,1.048218846,0.041459784,1.1013911563333334,0.1314043256537965,1.0198017356666669,0.1082545071985761
S1196,Primary,C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,26.11288,9.892578,0.812379181,0.063790165,1.018762112,0.403540552,1.618962526,0.586723089,1.271356702,0.406248659,1.557108045,0.8201942440000001,0.94847101,0.1428025809999999,0.703594685,0.224221945,1.3294832506666667,0.5833900256852645,0.9979044996666668,0.3550391671667348
S1197,Primary,CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C,30.56231,23.55353,0.988382518,0.136531591,0.87238121,0.08962059,1.065699577,0.044726849,1.026522398,0.067518242,0.9463045,0.033487931,1.009126902,0.14971064,1.078156948,0.042710427,1.000128865,0.0851719983036695,0.9923535186666664,0.0693174911289615
S1199,Primary,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1,15.50618,7.525813,1.798880935,0.377523452,0.942354739,0.422361463,1.547623515,0.068795942,0.914091349,0.0282041489999999,2.13193965,0.104984649,1.341898799,0.30067265,0.7055227759999999,0.0562451,1.8261480333333333,0.2296944455657826,0.8539896213333332,0.2465415385706328
S1200,Primary,Nc1ncn(C2CC(O)C(CO)O2)c(=O)n1,25.00328,7.590827,1.549963355,0.414031088,1.4834775919999998,0.3732626739999999,1.3795361519999998,0.07223735,1.459824443,0.0475359859999999,1.411120415,0.108658955,1.19609189,0.1752673239999999,1.179256439,0.069810383,1.4468733073333333,0.2506303686488519,1.374186158,0.2209511132514981
S1202,Primary,CC12C=CC(=O)NC1CCC1C2CCC2(C)C(C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CCC12,25.03831,7.52875,0.555556476,0.101283379,1.377047181,0.164131477,0.473455191,0.02404058,1.07916522,0.043069668,0.406291604,0.015388037,0.927500367,0.135916352,1.222837925,0.055804364,0.4784344236666666,0.0607537763740038,1.2263501086666668,0.1031314130697274
S1206,Primary,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.O=C(O)/C=C/C(=O)O,33.45942,3.802038,1.045789838,0.1691410539999999,1.213123918,0.3637518289999999,1.024102211,0.04724222,0.980606794,0.11091461,0.872792482,0.033261839,1.052560687,0.15435572,1.041625381,0.068570815,0.9808948436666666,0.1031937876560748,1.078452031,0.2230989320772748
S1207,Primary,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,26.53293,25.85084,0.305540502,0.051610582,0.506234229,0.086996064,0.3645357489999999,0.019497233,0.5361953970000001,0.054528702,0.244044363,0.008641177,0.830781817,0.12219096,0.246190503,0.032334179,0.3047068713333333,0.032241092873228,0.429540043,0.0621481928535897
S1208,Primary,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1.Cl,30.00232,43.27202,0.250240535,0.038536251,0.013219401,0.002418175,0.229165375,0.01380714,0.0236011129999999,0.003051689,0.1944065089999999,0.00701076,0.859189987,0.126003176,0.00943426,0.000848032,0.2246041396666666,0.0239779795638428,0.0154182579999999,0.0023006907916514
